"(""[Parameter(Mandatory = $False, ParameterSetName='ObjectGuidLookup')]\n        [Guid]\n        $ObjectType"", 'Guid', 'ObjectType', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(Mandatory = $true, ValueFromPipelineByPropertyName = $true, ParameterSetName = 'CreateVariables')]\n        [switch]$CreateVariables"", 'switch', 'CreateVariables', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'API')]\n        [Switch]\n        $API"", 'Switch', 'API', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Unique\n\n        $GPOgroups', '', 'Unique', 'GPOgroups', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UpdatedAtSerial\n        $DNSRecordObject', '', 'UpdatedAtSerial', 'DNSRecordObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Uri $ADCSSrvUri', '', 'Uri', 'ADCSSrvUri', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Uri $ExSrvUri', '', 'Uri', 'ExSrvUri', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'User.UserName\n                            $UserDomain', '', 'User.UserName', 'UserDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserDomain\n                                    $UserLocation', '', 'UserDomain', 'UserLocation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserDomain\n                        $ForeignUser', '', 'UserDomain', 'ForeignUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserDomain\n                    $DomainSearcherArguments', '', 'UserDomain', 'DomainSearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserDomain\n                    $RegLoggedOnUser', '', 'UserDomain', 'RegLoggedOnUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserIdentity\n                $User', '', 'UserIdentity', 'User', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserImpersonation\n                $Null', '', 'UserImpersonation', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserName $UserName', '', 'UserName', 'UserName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserName\n                                    $UserLocation', '', 'UserName', 'UserLocation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserName\n                                $FoundConnection', '', 'UserName', 'FoundConnection', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserName\n                                $MountedDrive', '', 'UserName', 'MountedDrive', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserName\n                                $UserLocation', '', 'UserName', 'UserLocation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserName\n                            $FoundConnection', '', 'UserName', 'FoundConnection', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserName\n                    $DomainSearcherArguments', '', 'UserName', 'DomainSearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserName\n                    $RegLoggedOnUser', '', 'UserName', 'RegLoggedOnUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserSID\n                                $FoundConnection', '', 'UserSID', 'FoundConnection', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserSID\n                                $MountedDrive', '', 'UserSID', 'MountedDrive', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserSID\n                            $FoundConnection', '', 'UserSID', 'FoundConnection', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Username $Object_ASRep', '', 'Username', 'Object_ASRep', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UsernameHint\n                            $FoundConnection', '', 'UsernameHint', 'FoundConnection', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ValidateSet $UACValueNames', '', 'ValidateSet', 'UACValueNames', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $ACEs', '', 'Value', 'ACEs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $ASREPHash', '', 'Value', 'ASREPHash', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $BoundParameters', '', 'Value', 'BoundParameters', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $Computer', '', 'Value', 'Computer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $ExtendedKeyUsage', '', 'Value', 'ExtendedKeyUsage', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $False', '', 'Value', 'False', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $Object_ASRepTGT', '', 'Value', 'Object_ASRepTGT', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $Value', '', 'Value', 'Value', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $adPEASVersion', '', 'Value', 'adPEASVersion', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $subkey', '', 'Value', 'subkey', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $template', '', 'Value', 'template', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $users', '', 'Value', 'users', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'WinEvent\n        $XPathFilter', '', 'WinEvent', 'XPathFilter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'WmiArguments\n                $Key', '', 'WmiArguments', 'Key', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'WmiArguments\n\n                $Key', '', 'WmiArguments', 'Key', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Wpad\n                    $Out', '', 'Wpad', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Zero\n                        $pBytesReturned', '', 'Zero', 'pBytesReturned', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Zero\n                $EntriesRead', '', 'Zero', 'EntriesRead', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Zero\n                $pCount', '', 'Zero', 'pCount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Zero\n            $EntriesRead', '', 'Zero', 'EntriesRead', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Zero\n        $NetworkCredential', '', 'Zero', 'NetworkCredential', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Zero\n\n            $Result', '', 'Zero', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n                                    $Enforced', '', '0', 'Enforced', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n                                $GroupFoundDN', '', '0', 'GroupFoundDN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n                            $OutObject', '', '0', 'OutObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n                            $_', '', '0', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n                        $GroupFoundDN', '', '0', 'GroupFoundDN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n                        $Members', '', '0', 'Members', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n                        $Object', '', '0', 'Object', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n                        $xml', '', '0', 'xml', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n                    $GroupFoundDN', '', '0', 'GroupFoundDN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n                    $UserContext', '', '0', 'UserContext', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n                $DomainTrust', '', '0', 'DomainTrust', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n                $Identity', '', '0', 'Identity', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n                $SourceNameIndex', '', '0', 'SourceNameIndex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n            $Out', '', '0', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[0]\n    $SizeConst', '', '0', 'SizeConst', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1..2]\n                        $Name', '', '1..2', 'Name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n                            $IdentityFilter', '', '1', 'IdentityFilter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n                        $ForeignUser', '', '1', 'ForeignUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n                        $IdentityFilter', '', '1', 'IdentityFilter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n                    $ContextArguments', '', '1', 'ContextArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n                    $IdentityFilter', '', '1', 'IdentityFilter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n                $AttribBuilder', '', '1', 'AttribBuilder', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n\n                    $DomainSearcherArguments', '', '1', 'DomainSearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n\n                    $ForeignGroupMember', '', '1', 'ForeignGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[24..$DNSRecord', '', '24..', 'DNSRecord', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[24]\n            $Index', '', '24', 'Index', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[27]\n            $Data', '', '27', 'Data', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[3]\n                                    $ShareName', '', '3', 'ShareName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[ADSI]$SearchString', '', 'ADSI', 'SearchString', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[ADSI]$_', '', 'ADSI', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[ADSI]$gpo', '', 'ADSI', 'gpo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[ComponentModel.Win32Exception] $LastError', '', 'ComponentModel.Win32Exception', 'LastError', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[ComponentModel.Win32Exception] $LastError2', '', 'ComponentModel.Win32Exception', 'LastError2', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[ComponentModel.Win32Exception] $Result', '', 'ComponentModel.Win32Exception', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[ComponentModel.Win32Exception]$Result', '', 'ComponentModel.Win32Exception', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Guid]$IdentityInstance', '', 'Guid', 'IdentityInstance', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Parameter()]\n        [Switch]\n        $SSL', '[Parameter()]', 'Switch', 'SSL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Runtime.InteropServices.CallingConvention] $NativeCallingConvention', '', 'Runtime.InteropServices.CallingConvention', 'NativeCallingConvention', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[Runtime.InteropServices.CharSet] $Charset', '', 'Runtime.InteropServices.CharSet', 'Charset', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[String]$SourceIP', '', 'String', 'SourceIP', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[System.DirectoryServices.ActiveDirectoryRights]$r', '', 'System.DirectoryServices.ActiveDirectoryRights', 'r', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[System.DirectoryServices.ActiveDirectorySecurityInheritance]$InheritanceType', '', 'System.DirectoryServices.ActiveDirectorySecurityInheritance', 'InheritanceType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[System.Security.Principal.SecurityIdentifier]$ObjectSid', '', 'System.Security.Principal.SecurityIdentifier', 'ObjectSid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[System.Security.Principal.SecurityIdentifier]$PrincipalObject', '', 'System.Security.Principal.SecurityIdentifier', 'PrincipalObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[__ComObject] $Object', '', '__ComObject', 'Object', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[int32]$object_laps', '', 'int32', 'object_laps', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[string]$Str', '', 'string', 'Str', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[void]$PSBoundParameters', '', 'void', 'PSBoundParameters', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                                            Version $Value', '', 'Version', 'Value', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                            [void]$Searcher', '', 'void', 'Searcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                    [Int32]$High', '', 'Int32', 'High', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                    [Int32]$Low', '', 'Int32', 'Low', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                    [char]$character', '', 'char', 'character', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                    [void] $Method', '', 'void', 'Method', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                [Int]$SegmentLength', '', 'Int', 'SegmentLength', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                [void]$Request', '', 'void', 'Request', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                [void]$Searcher', '', 'void', 'Searcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                return $Null', '', 'return', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            [Int]$Index', '', 'Int', 'Index', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            [Int]$Segments', '', 'Int', 'Segments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            [String]$Name', '', 'String', 'Name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            [String]\n            $File', '', 'String', 'File', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            [Void] $Object', '', 'Void', 'Object', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            [int]$SegmentLength', '', 'int', 'SegmentLength', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            [string]$TXT', '', 'string', 'TXT', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            [void]$Request', '', 'void', 'Request', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            [xml] $Xml', '', 'xml', 'Xml', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            return $Assembly', '', 'return', 'Assembly', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            return $TypeHash', '', 'return', 'TypeHash', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            return $false', '', 'return', 'false', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            return $true', '', 'return', 'true', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Char]\n        $Delimiter', '', 'Char', 'Delimiter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [DateTime]\n        $CreationTime', '', 'DateTime', 'CreationTime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [DateTime]\n        $EndTime', '', 'DateTime', 'EndTime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [DateTime]\n        $LastAccessTime', '', 'DateTime', 'LastAccessTime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [DateTime]\n        $LastWriteTime', '', 'DateTime', 'LastWriteTime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [DateTime]\n        $StartTime', '', 'DateTime', 'StartTime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Double]\n        $Jitter', '', 'Double', 'Jitter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Hashtable]\n        $Attributes', '', 'Hashtable', 'Attributes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Hashtable]\n        $EnumElements', '', 'Hashtable', 'EnumElements', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Hashtable]\n        $Filter', '', 'Hashtable', 'Filter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Hashtable]\n        $Set', '', 'Hashtable', 'Set', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Hashtable]\n        $StructFields', '', 'Hashtable', 'StructFields', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Hashtable]\n        $XOR', '', 'Hashtable', 'XOR', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [IntPtr]\n        $TokenHandle', '', 'IntPtr', 'TokenHandle', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Int]\n        $Delay', '', 'Int', 'Delay', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Int]\n        $Jitter', '', 'Int', 'Jitter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Int]\n        $LastLogon', '', 'Int', 'LastLogon', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Int]\n        $LdapPort', '', 'Int', 'LdapPort', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Int]\n        $MaxEvents', '', 'Int', 'MaxEvents', '', '', '', '', '', '', '', '')"
